Case.ID,Task.Label,Timestamp,Salary,Amount,Coverage,Cost,AssessmentType,AssessmentCost,Result
638,AssessApplication,2018-11-07T15:07:45.031+11:00,,,,,Complex,240,
639,SubmitLoanApplication,2018-11-07T16:18:33.031+11:00,67000,101000,,,,,
639,CheckCareer,2018-11-07T17:37:48.031+11:00,,,17,,,,
639,CheckMedicalHistory,2018-11-07T17:44:16.031+11:00,,,,220,,,
639,NotifyOutcome,2018-11-07T18:53:09.031+11:00,,,,,,,Rejected
639,AssessApplication,2018-11-07T18:53:31.031+11:00,,,,,Complex,110,
640,SubmitLoanApplication,2018-11-07T20:38:04.031+11:00,53000,193000,,,,,
640,CheckCareer,2018-11-07T22:49:31.031+11:00,,,30,,,,
640,CheckMedicalHistory,2018-11-07T22:53:14.031+11:00,,,,120,,,
640,NotifyOutcome,2018-11-07T23:06:37.031+11:00,,,,,,,Rejected
640,AssessApplication,2018-11-07T23:13:38.031+11:00,,,,,Complex,190,
641,SubmitLoanApplication,2018-11-08T00:29:05.031+11:00,36000,196000,,,,,
641,CheckCareer,2018-11-08T00:51:50.031+11:00,,,17,,,,
641,CheckMedicalHistory,2018-11-08T00:52:07.031+11:00,,,,180,,,
641,NotifyOutcome,2018-11-08T01:11:35.031+11:00,,,,,,,Rejected
641,AssessApplication,2018-11-08T01:46:15.031+11:00,,,,,Complex,220,
642,SubmitLoanApplication,2018-11-08T04:17:01.031+11:00,41000,114000,,,,,
642,CheckCareer,2018-11-08T04:17:15.031+11:00,,,29,,,,
642,CheckMedicalHistory,2018-11-08T06:25:16.031+11:00,,,,290,,,
642,NotifyOutcome,2018-11-08T06:38:39.031+11:00,,,,,,,Rejected
642,AssessApplication,2018-11-08T07:01:55.031+11:00,,,,,Complex,140,
643,SubmitLoanApplication,2018-11-08T07:46:45.031+11:00,25000,163000,,,,,
643,CheckCareer,2018-11-08T08:08:49.031+11:00,,,21,,,,
643,CheckMedicalHistory,2018-11-08T08:33:27.031+11:00,,,,240,,,
643,NotifyOutcome,2018-11-08T09:56:21.031+11:00,,,,,,,Rejected
643,AssessApplication,2018-11-08T10:24:53.031+11:00,,,,,Complex,240,
644,SubmitLoanApplication,2018-11-08T14:03:25.031+11:00,38000,166000,,,,,
644,CheckCareer,2018-11-08T14:56:40.031+11:00,,,23,,,,
644,CheckMedicalHistory,2018-11-08T15:02:35.031+11:00,,,,210,,,
644,NotifyOutcome,2018-11-08T15:03:47.031+11:00,,,,,,,Rejected
644,AssessApplication,2018-11-08T15:22:53.031+11:00,,,,,Complex,220,
645,SubmitLoanApplication,2018-11-08T15:34:07.031+11:00,49000,128000,,,,,
645,CheckCareer,2018-11-08T16:15:55.031+11:00,,,22,,,,
645,CheckMedicalHistory,2018-11-08T17:17:59.031+11:00,,,,180,,,
645,NotifyOutcome,2018-11-08T18:13:30.031+11:00,,,,,,,Rejected
645,AssessApplication,2018-11-08T18:58:49.031+11:00,,,,,Complex,230,
646,SubmitLoanApplication,2018-11-08T19:50:31.031+11:00,35000,121000,,,,,
646,CheckCareer,2018-11-08T21:01:55.031+11:00,,,21,,,,
646,CheckMedicalHistory,2018-11-08T21:27:19.031+11:00,,,,240,,,
646,NotifyOutcome,2018-11-08T21:31:01.031+11:00,,,,,,,Rejected
646,AssessApplication,2018-11-08T22:41:02.031+11:00,,,,,Complex,220,
647,SubmitLoanApplication,2018-11-08T23:52:18.031+11:00,58000,111000,,,,,
647,CheckCareer,2018-11-09T00:11:39.031+11:00,,,21,,,,
647,CheckMedicalHistory,2018-11-09T01:35:18.031+11:00,,,,120,,,
647,NotifyOutcome,2018-11-09T02:07:12.031+11:00,,,,,,,Rejected
647,AssessApplication,2018-11-09T02:09:02.031+11:00,,,,,Complex,130,
648,SubmitLoanApplication,2018-11-09T03:35:05.031+11:00,43000,174000,,,,,
648,CheckCareer,2018-11-09T04:37:08.031+11:00,,,17,,,,
648,CheckMedicalHistory,2018-11-09T05:22:46.031+11:00,,,,280,,,
648,NotifyOutcome,2018-11-09T06:32:00.031+11:00,,,,,,,Rejected
648,AssessApplication,2018-11-09T06:38:47.031+11:00,,,,,Complex,150,
649,SubmitLoanApplication,2018-11-09T08:24:44.031+11:00,39000,185000,,,,,
649,CheckCareer,2018-11-09T09:35:42.031+11:00,,,27,,,,
649,CheckMedicalHistory,2018-11-09T10:42:19.031+11:00,,,,210,,,
649,NotifyOutcome,2018-11-09T11:09:17.031+11:00,,,,,,,Rejected
649,AssessApplication,2018-11-09T11:29:37.031+11:00,,,,,Complex,210,
650,SubmitLoanApplication,2018-11-09T11:47:50.031+11:00,69000,139000,,,,,
650,CheckCareer,2018-11-09T12:22:37.031+11:00,,,22,,,,
650,CheckMedicalHistory,2018-11-09T14:27:28.031+11:00,,,,120,,,
650,NotifyOutcome,2018-11-09T14:43:27.031+11:00,,,,,,,Rejected
650,AssessApplication,2018-11-09T14:49:55.031+11:00,,,,,Complex,210,
651,SubmitLoanApplication,2018-11-09T16:16:13.031+11:00,28000,189000,,,,,
651,CheckCareer,2018-11-09T16:29:00.031+11:00,,,21,,,,
651,CheckMedicalHistory,2018-11-09T17:40:15.031+11:00,,,,170,,,
651,NotifyOutcome,2018-11-09T17:41:27.031+11:00,,,,,,,Rejected
651,AssessApplication,2018-11-09T18:09:27.031+11:00,,,,,Complex,120,
652,SubmitLoanApplication,2018-11-09T19:31:11.031+11:00,50000,106000,,,,,
652,CheckCareer,2018-11-09T19:39:30.031+11:00,,,24,,,,
652,CheckMedicalHistory,2018-11-09T20:02:53.031+11:00,,,,290,,,
652,NotifyOutcome,2018-11-09T20:31:11.031+11:00,,,,,,,Rejected
652,AssessApplication,2018-11-09T22:52:25.031+11:00,,,,,Complex,120,
653,SubmitLoanApplication,2018-11-10T00:04:23.031+11:00,29000,157000,,,,,
653,CheckCareer,2018-11-10T01:31:31.031+11:00,,,22,,,,
653,CheckMedicalHistory,2018-11-10T01:43:16.031+11:00,,,,260,,,
653,NotifyOutcome,2018-11-10T02:06:11.031+11:00,,,,,,,Rejected
653,AssessApplication,2018-11-10T03:29:50.031+11:00,,,,,Complex,130,
654,SubmitLoanApplication,2018-11-10T04:29:19.031+11:00,41000,70000,,,,,
654,CheckCareer,2018-11-10T05:22:11.031+11:00,,,3,,,,
654,CheckMedicalHistory,2018-11-10T05:48:01.031+11:00,,,,10,,,
654,NotifyOutcome,2018-11-10T06:07:14.031+11:00,,,,,,,Rejected
654,AssessApplication,2018-11-10T06:32:23.031+11:00,,,,,Simple,80,
655,SubmitLoanApplication,2018-11-10T09:02:38.031+11:00,49000,86000,,,,,
655,AssessApplication,2018-11-10T09:06:35.031+11:00,,,,,Simple,60,
655,CheckCareer,2018-11-10T09:23:46.031+11:00,,,2,,,,
655,CheckMedicalHistory,2018-11-10T09:57:06.031+11:00,,,,80,,,
655,NotifyOutcome,2018-11-10T11:07:15.031+11:00,,,,,,,Rejected
656,SubmitLoanApplication,2018-11-10T11:52:56.031+11:00,69000,86000,,,,,
656,AssessApplication,2018-11-10T13:43:37.031+11:00,,,,,Simple,90,
656,CheckCareer,2018-11-10T14:59:41.031+11:00,,,11,,,,
656,CheckMedicalHistory,2018-11-10T15:14:04.031+11:00,,,,230,,,
656,NotifyOutcome,2018-11-10T15:18:35.031+11:00,,,,,,,Rejected
657,SubmitLoanApplication,2018-11-10T15:55:52.031+11:00,58000,72000,,,,,
657,AssessApplication,2018-11-10T16:24:20.031+11:00,,,,,Simple,90,
657,CheckCareer,2018-11-10T17:59:43.031+11:00,,,6,,,,
657,CheckMedicalHistory,2018-11-10T19:15:20.031+11:00,,,,140,,,
657,NotifyOutcome,2018-11-10T19:29:41.031+11:00,,,,,,,Rejected
658,SubmitLoanApplication,2018-11-10T20:12:35.031+11:00,30000,53000,,,,,
658,AssessApplication,2018-11-10T20:16:37.031+11:00,,,,,Simple,70,
658,CheckCareer,2018-11-10T21:34:28.031+11:00,,,8,,,,
658,CheckMedicalHistory,2018-11-10T22:48:45.031+11:00,,,,150,,,
658,NotifyOutcome,2018-11-10T23:01:49.031+11:00,,,,,,,Rejected
659,SubmitLoanApplication,2018-11-11T02:34:45.031+11:00,40000,63000,,,,,
659,AssessApplication,2018-11-11T02:40:37.031+11:00,,,,,Simple,20,
659,CheckCareer,2018-11-11T03:03:15.031+11:00,,,14,,,,
659,CheckMedicalHistory,2018-11-11T03:04:03.031+11:00,,,,250,,,
659,NotifyOutcome,2018-11-11T03:14:18.031+11:00,,,,,,,Rejected
660,SubmitLoanApplication,2018-11-11T03:39:47.031+11:00,49000,82000,,,,,
660,AssessApplication,2018-11-11T04:04:24.031+11:00,,,,,Simple,50,
660,CheckCareer,2018-11-11T05:52:59.031+11:00,,,15,,,,
660,CheckMedicalHistory,2018-11-11T06:11:42.031+11:00,,,,290,,,
660,NotifyOutcome,2018-11-11T06:35:19.031+11:00,,,,,,,Rejected
661,SubmitLoanApplication,2018-11-11T07:46:40.031+11:00,47000,89000,,,,,
661,AssessApplication,2018-11-11T08:23:08.031+11:00,,,,,Simple,90,
661,CheckCareer,2018-11-11T08:24:03.031+11:00,,,12,,,,
661,CheckMedicalHistory,2018-11-11T08:49:55.031+11:00,,,,120,,,
661,NotifyOutcome,2018-11-11T10:37:36.031+11:00,,,,,,,Rejected
662,SubmitLoanApplication,2018-11-11T12:22:29.031+11:00,38000,67000,,,,,
662,AssessApplication,2018-11-11T13:16:51.031+11:00,,,,,Simple,70,
662,CheckCareer,2018-11-11T15:10:19.031+11:00,,,6,,,,
662,CheckMedicalHistory,2018-11-11T15:11:30.031+11:00,,,,140,,,
662,NotifyOutcome,2018-11-11T15:29:11.031+11:00,,,,,,,Rejected
663,SubmitLoanApplication,2018-11-11T16:31:48.031+11:00,58000,99000,,,,,
663,AssessApplication,2018-11-11T17:05:53.031+11:00,,,,,Simple,50,
663,CheckCareer,2018-11-11T17:07:34.031+11:00,,,15,,,,
663,CheckMedicalHistory,2018-11-11T17:39:16.031+11:00,,,,120,,,
663,NotifyOutcome,2018-11-11T19:07:50.031+11:00,,,,,,,Rejected
664,SubmitLoanApplication,2018-11-11T19:33:45.031+11:00,33000,62000,,,,,
664,AssessApplication,2018-11-11T21:52:32.031+11:00,,,,,Simple,40,
664,CheckCareer,2018-11-11T23:00:58.031+11:00,,,8,,,,
664,CheckMedicalHistory,2018-11-11T23:05:32.031+11:00,,,,290,,,
664,NotifyOutcome,2018-11-11T23:09:54.031+11:00,,,,,,,Rejected
665,SubmitLoanApplication,2018-11-11T23:51:18.031+11:00,37000,73000,,,,,
665,AssessApplication,2018-11-12T00:11:27.031+11:00,,,,,Simple,50,
665,CheckCareer,2018-11-12T00:30:41.031+11:00,,,14,,,,
665,CheckMedicalHistory,2018-11-12T00:53:32.031+11:00,,,,300,,,
665,NotifyOutcome,2018-11-12T03:13:12.031+11:00,,,,,,,Rejected
666,SubmitLoanApplication,2018-11-12T05:41:11.031+11:00,52000,77000,,,,,
666,AssessApplication,2018-11-12T05:57:33.031+11:00,,,,,Simple,40,
666,CheckCareer,2018-11-12T06:09:58.031+11:00,,,6,,,,
666,CheckMedicalHistory,2018-11-12T06:30:21.031+11:00,,,,160,,,
666,NotifyOutcome,2018-11-12T07:15:40.031+11:00,,,,,,,Rejected
667,SubmitLoanApplication,2018-11-12T07:31:48.031+11:00,34000,76000,,,,,
667,AssessApplication,2018-11-12T08:43:50.031+11:00,,,,,Simple,90,
667,CheckCareer,2018-11-12T08:59:01.031+11:00,,,6,,,,
667,CheckMedicalHistory,2018-11-12T09:04:31.031+11:00,,,,230,,,
667,NotifyOutcome,2018-11-12T09:10:52.031+11:00,,,,,,,Rejected
668,SubmitLoanApplication,2018-11-12T11:51:00.031+11:00,45000,52000,,,,,
668,AssessApplication,2018-11-12T12:11:32.031+11:00,,,,,Simple,50,
668,CheckCareer,2018-11-12T13:35:44.031+11:00,,,7,,,,
668,CheckMedicalHistory,2018-11-12T14:31:05.031+11:00,,,,190,,,
668,NotifyOutcome,2018-11-12T14:38:40.031+11:00,,,,,,,Rejected
669,SubmitLoanApplication,2018-11-12T15:42:12.031+11:00,42000,60000,,,,,
669,AssessApplication,2018-11-12T18:48:16.031+11:00,,,,,Simple,100,
669,CheckCareer,2018-11-12T19:09:40.031+11:00,,,10,,,,
669,CheckMedicalHistory,2018-11-12T19:18:57.031+11:00,,,,110,,,
669,NotifyOutcome,2018-11-12T19:19:57.031+11:00,,,,,,,Rejected
670,SubmitLoanApplication,2018-11-12T20:29:19.031+11:00,69000,83000,,,,,
670,AssessApplication,2018-11-12T20:43:30.031+11:00,,,,,Simple,70,
670,CheckCareer,2018-11-12T21:55:33.031+11:00,,,13,,,,
670,CheckMedicalHistory,2018-11-12T22:28:03.031+11:00,,,,300,,,
670,NotifyOutcome,2018-11-12T22:31:29.031+11:00,,,,,,,Rejected
671,SubmitLoanApplication,2018-11-12T23:56:33.031+11:00,43000,87000,,,,,
671,AssessApplication,2018-11-13T00:29:15.031+11:00,,,,,Simple,20,
671,CheckCareer,2018-11-13T01:52:58.031+11:00,,,6,,,,
671,CheckMedicalHistory,2018-11-13T03:06:04.031+11:00,,,,230,,,
671,NotifyOutcome,2018-11-13T03:23:01.031+11:00,,,,,,,Rejected
672,SubmitLoanApplication,2018-11-13T05:07:33.031+11:00,40000,85000,,,,,
672,AssessApplication,2018-11-13T05:16:08.031+11:00,,,,,Simple,30,
672,CheckCareer,2018-11-13T05:16:51.031+11:00,,,14,,,,
672,CheckMedicalHistory,2018-11-13T07:11:44.031+11:00,,,,240,,,
672,NotifyOutcome,2018-11-13T07:16:48.031+11:00,,,,,,,Rejected
673,SubmitLoanApplication,2018-11-13T08:39:20.031+11:00,46000,93000,,,,,
673,AssessApplication,2018-11-13T10:00:48.031+11:00,,,,,Simple,70,
673,CheckCareer,2018-11-13T10:16:42.031+11:00,,,15,,,,
673,CheckMedicalHistory,2018-11-13T10:21:22.031+11:00,,,,170,,,
673,NotifyOutcome,2018-11-13T10:49:12.031+11:00,,,,,,,Rejected
674,SubmitLoanApplication,2018-11-13T11:40:41.031+11:00,61000,56000,,,,,
674,AssessApplication,2018-11-13T12:09:55.031+11:00,,,,,Simple,100,
674,CheckCareer,2018-11-13T12:36:51.031+11:00,,,14,,,,
674,CheckMedicalHistory,2018-11-13T13:28:58.031+11:00,,,,260,,,
674,NotifyOutcome,2018-11-13T14:34:53.031+11:00,,,,,,,Rejected
675,SubmitLoanApplication,2018-11-13T15:46:24.031+11:00,68000,94000,,,,,
675,AssessApplication,2018-11-13T15:57:41.031+11:00,,,,,Simple,10,
675,CheckCareer,2018-11-13T16:06:47.031+11:00,,,8,,,,
675,CheckMedicalHistory,2018-11-13T16:33:48.031+11:00,,,,140,,,
675,NotifyOutcome,2018-11-13T18:12:34.031+11:00,,,,,,,Rejected
676,SubmitLoanApplication,2018-11-13T20:12:23.031+11:00,25000,81000,,,,,
676,AssessApplication,2018-11-13T20:23:29.031+11:00,,,,,Simple,30,
676,CheckCareer,2018-11-13T21:36:49.031+11:00,,,15,,,,
676,CheckMedicalHistory,2018-11-13T21:43:45.031+11:00,,,,250,,,
676,NotifyOutcome,2018-11-13T22:37:54.031+11:00,,,,,,,Rejected
677,SubmitLoanApplication,2018-11-14T01:01:50.031+11:00,53000,55000,,,,,
677,AssessApplication,2018-11-14T01:42:45.031+11:00,,,,,Simple,60,
677,CheckCareer,2018-11-14T01:45:39.031+11:00,,,15,,,,
677,CheckMedicalHistory,2018-11-14T02:25:04.031+11:00,,,,120,,,
677,NotifyOutcome,2018-11-14T03:22:07.031+11:00,,,,,,,Rejected
678,SubmitLoanApplication,2018-11-14T04:21:23.031+11:00,60000,91000,,,,,
678,AssessApplication,2018-11-14T05:52:49.031+11:00,,,,,Simple,70,
678,CheckCareer,2018-11-14T06:34:02.031+11:00,,,14,,,,
678,CheckMedicalHistory,2018-11-14T07:11:20.031+11:00,,,,230,,,
678,NotifyOutcome,2018-11-14T07:19:12.031+11:00,,,,,,,Rejected
679,SubmitLoanApplication,2018-11-14T07:56:38.031+11:00,48000,54000,,,,,
679,AssessApplication,2018-11-14T08:08:56.031+11:00,,,,,Simple,10,
679,CheckCareer,2018-11-14T08:34:22.031+11:00,,,8,,,,
679,CheckMedicalHistory,2018-11-14T08:55:26.031+11:00,,,,170,,,
679,NotifyOutcome,2018-11-14T09:53:55.031+11:00,,,,,,,Rejected
680,SubmitLoanApplication,2018-11-14T13:35:58.031+11:00,61000,92000,,,,,
680,AssessApplication,2018-11-14T13:38:48.031+11:00,,,,,Simple,10,
680,CheckCareer,2018-11-14T14:44:26.031+11:00,,,8,,,,
680,CheckMedicalHistory,2018-11-14T14:45:34.031+11:00,,,,150,,,
680,NotifyOutcome,2018-11-14T14:49:25.031+11:00,,,,,,,Rejected
681,SubmitLoanApplication,2018-11-14T15:51:16.031+11:00,29000,96000,,,,,
681,AssessApplication,2018-11-14T16:31:06.031+11:00,,,,,Simple,40,
681,CheckCareer,2018-11-14T17:07:45.031+11:00,,,13,,,,
681,CheckMedicalHistory,2018-11-14T17:26:12.031+11:00,,,,250,,,
681,NotifyOutcome,2018-11-14T18:42:12.031+11:00,,,,,,,Rejected
682,SubmitLoanApplication,2018-11-14T19:39:50.031+11:00,70000,79000,,,,,
682,AssessApplication,2018-11-14T21:54:15.031+11:00,,,,,Simple,70,
682,CheckCareer,2018-11-14T23:02:10.031+11:00,,,11,,,,
682,CheckMedicalHistory,2018-11-14T23:11:39.031+11:00,,,,290,,,
682,NotifyOutcome,2018-11-14T23:20:48.031+11:00,,,,,,,Rejected
683,SubmitLoanApplication,2018-11-14T23:34:22.031+11:00,44000,95000,,,,,
683,AssessApplication,2018-11-14T23:41:01.031+11:00,,,,,Simple,10,
683,CheckCareer,2018-11-15T00:26:33.031+11:00,,,11,,,,
683,CheckMedicalHistory,2018-11-15T02:11:13.031+11:00,,,,300,,,
683,NotifyOutcome,2018-11-15T03:17:56.031+11:00,,,,,,,Rejected
684,SubmitLoanApplication,2018-11-15T04:10:25.031+11:00,31000,98000,,,,,
684,AssessApplication,2018-11-15T04:28:32.031+11:00,,,,,Simple,50,
684,CheckCareer,2018-11-15T04:50:17.031+11:00,,,13,,,,
684,CheckMedicalHistory,2018-11-15T06:17:56.031+11:00,,,,240,,,
684,NotifyOutcome,2018-11-15T06:45:54.031+11:00,,,,,,,Rejected
685,SubmitLoanApplication,2018-11-15T08:05:42.031+11:00,49000,80000,,,,,
685,AssessApplication,2018-11-15T08:38:32.031+11:00,,,,,Simple,80,
685,CheckCareer,2018-11-15T10:23:33.031+11:00,,,11,,,,
685,CheckMedicalHistory,2018-11-15T10:41:08.031+11:00,,,,250,,,
685,NotifyOutcome,2018-11-15T11:11:04.031+11:00,,,,,,,Rejected
686,SubmitLoanApplication,2018-11-15T11:40:59.031+11:00,68000,97000,,,,,
686,AssessApplication,2018-11-15T13:51:04.031+11:00,,,,,Simple,40,
686,CheckCareer,2018-11-15T14:11:47.031+11:00,,,12,,,,
686,CheckMedicalHistory,2018-11-15T14:22:34.031+11:00,,,,150,,,
686,NotifyOutcome,2018-11-15T15:10:51.031+11:00,,,,,,,Rejected
687,SubmitLoanApplication,2018-11-15T15:41:49.031+11:00,60000,57000,,,,,
687,AssessApplication,2018-11-15T17:13:25.031+11:00,,,,,Simple,90,
687,CheckCareer,2018-11-15T17:35:57.031+11:00,,,12,,,,
687,CheckMedicalHistory,2018-11-15T17:44:31.031+11:00,,,,290,,,
687,NotifyOutcome,2018-11-15T19:11:13.031+11:00,,,,,,,Rejected
688,SubmitLoanApplication,2018-11-15T21:07:22.031+11:00,49000,58000,,,,,
688,AssessApplication,2018-11-15T21:11:37.031+11:00,,,,,Simple,60,
688,CheckCareer,2018-11-15T22:03:32.031+11:00,,,12,,,,
688,CheckMedicalHistory,2018-11-15T22:30:14.031+11:00,,,,230,,,
688,NotifyOutcome,2018-11-15T23:20:33.031+11:00,,,,,,,Rejected
689,SubmitLoanApplication,2018-11-15T23:46:01.031+11:00,49000,65000,,,,,
689,AssessApplication,2018-11-16T00:06:08.031+11:00,,,,,Simple,30,
689,CheckCareer,2018-11-16T00:32:49.031+11:00,,,14,,,,
689,CheckMedicalHistory,2018-11-16T00:32:55.031+11:00,,,,260,,,
689,NotifyOutcome,2018-11-16T01:56:57.031+11:00,,,,,,,Rejected
690,SubmitLoanApplication,2018-11-16T05:00:42.031+11:00,56000,51000,,,,,
690,AssessApplication,2018-11-16T05:34:30.031+11:00,,,,,Simple,40,
690,CheckCareer,2018-11-16T05:48:44.031+11:00,,,9,,,,
690,CheckMedicalHistory,2018-11-16T06:39:36.031+11:00,,,,190,,,
690,NotifyOutcome,2018-11-16T07:14:23.031+11:00,,,,,,,Rejected
691,SubmitLoanApplication,2018-11-16T07:38:11.031+11:00,60000,59000,,,,,
691,AssessApplication,2018-11-16T08:05:37.031+11:00,,,,,Simple,70,
691,CheckCareer,2018-11-16T08:27:39.031+11:00,,,11,,,,
691,CheckMedicalHistory,2018-11-16T08:53:00.031+11:00,,,,230,,,
691,NotifyOutcome,2018-11-16T10:21:40.031+11:00,,,,,,,Rejected
692,SubmitLoanApplication,2018-11-16T11:40:43.031+11:00,56000,88000,,,,,
692,AssessApplication,2018-11-16T13:10:24.031+11:00,,,,,Simple,70,
692,CheckCareer,2018-11-16T13:42:01.031+11:00,,,7,,,,
692,CheckMedicalHistory,2018-11-16T13:54:56.031+11:00,,,,180,,,
692,NotifyOutcome,2018-11-16T14:56:00.031+11:00,,,,,,,Rejected
693,SubmitLoanApplication,2018-11-16T16:00:23.031+11:00,46000,84000,,,,,
693,AssessApplication,2018-11-16T16:57:44.031+11:00,,,,,Simple,20,
693,CheckCareer,2018-11-16T17:02:32.031+11:00,,,10,,,,
693,CheckMedicalHistory,2018-11-16T18:29:16.031+11:00,,,,140,,,
693,NotifyOutcome,2018-11-16T18:43:26.031+11:00,,,,,,,Rejected
694,SubmitLoanApplication,2018-11-16T20:14:08.031+11:00,45000,61000,,,,,
694,AssessApplication,2018-11-16T21:11:08.031+11:00,,,,,Simple,40,
694,CheckCareer,2018-11-16T21:39:16.031+11:00,,,9,,,,
694,CheckMedicalHistory,2018-11-16T22:47:16.031+11:00,,,,270,,,
694,NotifyOutcome,2018-11-16T22:57:01.031+11:00,,,,,,,Rejected
695,SubmitLoanApplication,2018-11-17T00:03:07.031+11:00,40000,78000,,,,,
695,AssessApplication,2018-11-17T00:54:55.031+11:00,,,,,Simple,60,
695,CheckCareer,2018-11-17T01:25:29.031+11:00,,,11,,,,
695,CheckMedicalHistory,2018-11-17T02:24:33.031+11:00,,,,270,,,
695,NotifyOutcome,2018-11-17T02:27:10.031+11:00,,,,,,,Rejected
696,SubmitLoanApplication,2018-11-17T03:38:34.031+11:00,48000,74000,,,,,
696,AssessApplication,2018-11-17T04:13:15.031+11:00,,,,,Simple,100,
696,CheckCareer,2018-11-17T04:23:15.031+11:00,,,7,,,,
696,CheckMedicalHistory,2018-11-17T05:11:11.031+11:00,,,,290,,,
696,NotifyOutcome,2018-11-17T05:13:31.031+11:00,,,,,,,Rejected
697,SubmitLoanApplication,2018-11-17T07:39:02.031+11:00,69000,75000,,,,,
697,AssessApplication,2018-11-17T07:42:57.031+11:00,,,,,Simple,50,
697,CheckCareer,2018-11-17T08:06:57.031+11:00,,,6,,,,
697,CheckMedicalHistory,2018-11-17T08:50:18.031+11:00,,,,150,,,
697,NotifyOutcome,2018-11-17T09:03:48.031+11:00,,,,,,,Rejected
698,SubmitLoanApplication,2018-11-17T11:54:57.031+11:00,50000,66000,,,,,
698,AssessApplication,2018-11-17T11:56:27.031+11:00,,,,,Simple,20,
698,CheckCareer,2018-11-17T12:05:15.031+11:00,,,9,,,,
698,CheckMedicalHistory,2018-11-17T14:21:16.031+11:00,,,,190,,,
698,NotifyOutcome,2018-11-17T14:41:03.031+11:00,,,,,,,Rejected
699,SubmitLoanApplication,2018-11-17T15:35:07.031+11:00,29000,71000,,,,,
699,AssessApplication,2018-11-17T15:51:56.031+11:00,,,,,Simple,20,
699,CheckCareer,2018-11-17T16:17:29.031+11:00,,,11,,,,
699,CheckMedicalHistory,2018-11-17T17:10:16.031+11:00,,,,130,,,
699,NotifyOutcome,2018-11-17T17:58:07.031+11:00,,,,,,,Rejected
700,SubmitLoanApplication,2018-11-17T20:10:09.031+11:00,63000,69000,,,,,
700,AssessApplication,2018-11-17T20:32:21.031+11:00,,,,,Simple,50,
700,CheckCareer,2018-11-17T21:31:07.031+11:00,,,13,,,,
700,CheckMedicalHistory,2018-11-17T22:34:57.031+11:00,,,,120,,,
700,NotifyOutcome,2018-11-17T22:39:17.031+11:00,,,,,,,Rejected
701,SubmitLoanApplication,2018-11-17T23:46:26.031+11:00,42000,64000,,,,,
701,AssessApplication,2018-11-18T00:46:06.031+11:00,,,,,Simple,20,
701,CheckCareer,2018-11-18T00:53:43.031+11:00,,,9,,,,
701,CheckMedicalHistory,2018-11-18T01:45:15.031+11:00,,,,190,,,
701,NotifyOutcome,2018-11-18T02:53:17.031+11:00,,,,,,,Rejected
702,SubmitLoanApplication,2018-11-18T03:56:55.031+11:00,31000,68000,,,,,
702,AssessApplication,2018-11-18T04:09:21.031+11:00,,,,,Simple,20,
702,CheckCareer,2018-11-18T05:50:27.031+11:00,,,6,,,,
702,CheckMedicalHistory,2018-11-18T06:53:23.031+11:00,,,,200,,,
702,NotifyOutcome,2018-11-18T07:07:18.031+11:00,,,,,,,Rejected
703,SubmitLoanApplication,2018-11-18T08:12:12.031+11:00,34000,90000,,,,,
703,AssessApplication,2018-11-18T08:23:42.031+11:00,,,,,Simple,100,
703,CheckCareer,2018-11-18T08:44:19.031+11:00,,,14,,,,
703,CheckMedicalHistory,2018-11-18T10:26:34.031+11:00,,,,200,,,
703,NotifyOutcome,2018-11-18T10:56:08.031+11:00,,,,,,,Rejected
704,SubmitLoanApplication,2018-11-18T11:34:40.031+11:00,33000,70000,,,,,
704,AssessApplication,2018-11-18T12:31:04.031+11:00,,,,,Simple,30,
704,CheckCareer,2018-11-18T12:54:39.031+11:00,,,6,,,,
704,CheckMedicalHistory,2018-11-18T13:00:34.031+11:00,,,,170,,,
704,NotifyOutcome,2018-11-18T14:59:21.031+11:00,,,,,,,Rejected
705,SubmitLoanApplication,2018-11-18T15:44:06.031+11:00,29000,70000,,,,,
705,AssessApplication,2018-11-18T17:03:06.031+11:00,,,,,Simple,80,
705,CheckCareer,2018-11-18T18:15:07.031+11:00,,,4,,,,
705,CheckMedicalHistory,2018-11-18T18:20:27.031+11:00,,,,10,,,
705,NotifyOutcome,2018-11-18T19:02:11.031+11:00,,,,,,,Rejected
706,SubmitLoanApplication,2018-11-18T19:44:34.031+11:00,53000,72000,,,,,
706,AssessApplication,2018-11-18T20:16:46.031+11:00,,,,,Simple,70,
706,CheckCareer,2018-11-18T22:49:22.031+11:00,,,5,,,,
706,CheckMedicalHistory,2018-11-18T23:12:03.031+11:00,,,,100,,,
706,NotifyOutcome,2018-11-18T23:23:14.031+11:00,,,,,,,Rejected
707,SubmitLoanApplication,2018-11-19T00:12:55.031+11:00,38000,53000,,,,,
707,AssessApplication,2018-11-19T00:20:31.031+11:00,,,,,Simple,80,
707,CheckCareer,2018-11-19T00:53:43.031+11:00,,,4,,,,
707,CheckMedicalHistory,2018-11-19T01:36:57.031+11:00,,,,20,,,
707,NotifyOutcome,2018-11-19T02:12:03.031+11:00,,,,,,,Rejected
708,SubmitLoanApplication,2018-11-19T03:56:24.031+11:00,67000,63000,,,,,
708,AssessApplication,2018-11-19T04:14:15.031+11:00,,,,,Simple,70,
708,CheckCareer,2018-11-19T04:53:30.031+11:00,,,3,,,,
708,CheckMedicalHistory,2018-11-19T05:42:25.031+11:00,,,,50,,,
